sleep_duration,sleep_quality,physical_activity,stress_level,heart_rate,daily_steps,wellness_trend
8.3,4,43,4,66,6510,Improving
5.6,8,35,2,71,5374,Improving
6.2,5,14,7,79,4453,Declining
8.5,8,61,3,75,9572,Improving
4.6,6,57,7,67,10014,Declining
6.3,6,42,2,74,7329,Improving
8.8,6,58,7,77,7587,Improving
5.9,4,38,9,85,4959,Declining
5.5,6,10,3,75,4469,Declining
7.3,5,40,2,70,5625,Improving
6.5,8,34,6,81,6622,Stable
4.7,6,80,2,88,4137,Improving
7.7,7,72,4,74,9124,Improving
4.5,8,46,6,81,6480,Declining
7.2,3,75,1,67,9533,Improving
5.4,4,78,4,84,9435,Stable
6.7,6,42,7,78,7199,Stable
6.6,7,50,4,75,7880,Improving
8.4,6,86,6,66,10291,Improving
7.0,6,45,5,77,6246,Stable
7.6,4,45,3,87,6764,Improving
6.5,8,27,4,82,6191,Improving
7.1,5,49,5,75,8380,Stable
8.8,6,69,5,76,8618,Improving
4.7,8,26,5,82,6388,Declining
6.0,5,17,8,81,3429,Declining
6.9,8,54,5,79,8142,Improving
5.7,7,15,8,85,4957,Declining
5.9,7,33,5,80,5439,Stable
6.5,5,42,4,75,6892,Stable
7.1,6,65,3,78,9392,Improving
6.7,5,86,7,71,11750,Stable
7.1,8,32,8,83,8040,Stable
8.0,10,67,5,73,10609,Improving
7.4,4,53,4,80,6196,Stable
7.3,6,49,1,68,8303,Improving
6.5,5,53,6,82,8236,Stable
7.0,8,40,1,72,6972,Improving
6.3,5,55,2,63,8941,Improving
6.8,7,35,7,85,5753,Stable
6.8,7,42,4,86,7501,Improving
8.2,6,55,5,80,8068,Improving
5.1,8,70,4,79,9611,Improving
6.7,3,42,8,78,6274,Declining
4.5,8,39,7,73,4572,Declining
6.9,7,63,4,80,7089,Improving
6.9,7,24,3,80,7071,Improving
4.5,10,56,4,72,9277,Improving
7.5,4,42,5,76,5424,Stable
9.0,7,51,3,66,7589,Improving
6.9,5,32,8,77,6385,Declining
9.0,3,66,5,72,7181,Improving
6.0,6,26,5,74,6249,Declining
9.0,5,82,5,74,9685,Improving
6.1,7,41,7,85,8110,Stable
7.3,4,10,8,84,2346,Declining
4.5,9,39,4,83,8036,Stable
8.0,4,48,5,82,6838,Stable
7.2,5,29,2,70,4529,Improving
5.0,8,49,10,88,6113,Declining
6.0,7,42,6,82,5260,Stable
5.9,7,41,2,81,7607,Improving
6.7,8,44,7,78,6602,Stable
7.8,3,51,8,79,5485,Declining
8.0,5,63,5,69,8368,Improving
5.6,4,41,8,82,5022,Declining
